Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:122,Data class,Data type,Answers
7482b976-56fe-44b0-b30f-1e957cc0cbb0,,Date First Tested HIV + ,Date Tested HIV + ,Date First Tested HIV + ,,,,Question,Date,
2e528392-b1dc-4bcc-bf7a-cc8250082174,,Place Tested HIV + ,Place,Place,,,,Question,Text,
8eaae386-92dd-47df-b39e-89e60a42d00b,,First HIV Test Information,First HIV Test Information,First HIV Test Information,,,,Misc,N/A,
ec5d13de-ee22-4d8a-b39c-bdee6cd3d88c,,VCT Clinic,VCT,VCT Clinic,,,,Misc,N/A,
04c64451-9e19-43e9-ac3d-9333824bc1dd,,TB Clinic,TB Clinic,TB Clinic,,,,Misc,N/A,
dfa49cd5-3859-4184-84cc-ada016092680,,STI Clinic,STI Clinic,STI Clinic,,,,Misc,N/A,
17f90888-9c88-4db2-8750-edb1d760a9ca,,ANC Clinic,ANC,ANC Clinic,,,,Misc,N/A,
62cceeab-adf9-4f3b-bdb3-89687557ecab,,In Patient,In Patient,In Patient,,,,Misc,N/A,
6ecce064-414c-4bf8-9048-21d6cd55ee51,,Padeatric,Padeatric,Padeatric,,,,Misc,N/A,
8244fd10-f813-4e52-a13e-9e3df7cd599c,,Entry Point - OPD,OPD,Entry Point - OPD,,,,Misc,N/A,
cb976d23-ab3e-4369-a88f-73f56505783b,,CBTC,CBTC,CBTC,,,,Misc,N/A,
8fc10249-842b-4944-8018-c758bd0263d8,,Index Testing,Index Testing,Index Testing,,,,Misc,N/A,
0464a6fd-d3c5-427b-b147-3f156ac86d63,,Other Entry Point (Specify),Other (Specify),Other Entry Point (Specify),,,,Misc,N/A,
f1a35737-434c-46e9-8c46-4e17b98e305d,,HIV - Entry Point,Entry Point,Entry Point,,,,Question,Coded,VCT Clinic;TB Clinic ; STI Clinic ; ANC Clinic ; In Patient ; Padeatric ; Entry Point - OPD; CBTC ; Index Testing ; Other Entry Point (Specify)
80732fbe-6f6f-4fca-bbd6-3507e411af92,,Other Entry Point,Other,"Other Entry Point, Other",,,,Question,Text,
fee1095f-a0a7-4694-a352-4e88d6ce6c7c,,Date of HIV Retesting Before ART,Date of Hiv Retesting Before ART,Date of Hiv Retesting Before ART,,,,Question,Date,
13d6e54e-c8bb-41b2-902b-6ad193f77f40,,Place of HIV Retesting Before ART,Place,Place of Hiv Retesting Before ART,,,,Question,Text,
b0c04b40-7322-4fa3-92d4-13583c6ba68a,,HIV Retesting Information,HIV Retesting Information,HIV Retesting Information,,,,Misc,N/A,
1d2b7c28-eada-404a-9fab-2075a91ce069,,Transferred in on ART?,Transferred in on ART?,Transferred in on ART?,,,,Question,Boolean,
14026b25-6642-4002-a5ed-2049fb82afb2,,Name of Clinic,Name of Clinic,Name of Clinic,,,,Question,Text,
2509d668-caa1-4223-8f70-b0b61eb5b39e,,Date Transferred in,Date Transferred in,Date Transferred in,,,,Question,Date,
1ce0afd4-f6d2-4b80-b61a-11da81c760ce,,ART Transfer Information,ART Transfer Information,ART Transfer Information,,,,Misc,N/A,
3c262fa2-e1e7-4ec3-9377-b9ddf3184991,,HIV Testing History,HIV Testing History,HIV Testing History,,,,Misc,N/A,
159400AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Literate,Literate,Literate,,,,Question,Boolean,
9afd07d4-89b0-455a-9d5f-bcc3f49ba3a4,,Education Level - Primary,Primary,Education Level - Primary,,,,Misc,N/A,
345896b3-d11d-4051-a080-6a3405176d52,,Education Level - Secondary,Secondary,Education Level - Secondary,,,,Misc,N/A,
82788e4d-f478-4a98-ab85-6d43c1a99606,,Education Level - University/College,University / College,Education Level - University/College,,,,Misc,N/A,
1712AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Education Level,Education Level,Education Level,,,,Question,Coded,Education Level - Primary ; Education Level - Secondary  ; Education Level - University/College
ec6c8192-0fa3-4d43-aecc-0ec700b8acfa,,Alcohol Intake - Habitual,Habitual,Alcohol Intake - Habitual,,,,Misc,N/A,
ec9aef4b-2cd1-40d6-83d8-d331e682ca9e,,Alcohol Intake - Social,Social,Alcohol Intake - Social,,,,Misc,N/A,
d228c63f-212d-4214-a68f-6880297a29a0,,Alcohol Intake - Not Use,Not Use,Alcohol Intake - Not Use,,,,Misc,N/A,
f77b636b-21e7-4568-9719-bbdd67c3c736,,HIV Care - Alcohol Intake,Alcohol Intake,HIV Care - Alcohol Intake,,,,Question,Coded,Alcohol Intake - Habitual ; Alcohol Intake - Social ;Alcohol Intake - Not Use
0ca3ffa7-0d29-4043-8b78-3dd40f5806d1,,Drug Allergies,Drug Allergies,Drug Allergies,,,,Question,Boolean,
4f0579ef-d9cd-4f09-ad16-0eb7a6ac9710,,HIV Care -Drug Allergies Notes,Drug Allergies,HIV Care -Drug Allergies Notes,,,,Question,Text,
b3b5cc6c-6bf8-4984-839d-83059e30b622,,"Personal History, HIV",Personal History,"Personal History, HIV",,,,Misc,N/A,
55c92dcd-5af3-4f20-b828-a309b16b28c3,,HIV AND PERSONAL HISTORY FORM,HIV AND PERSONAL HISTORY FORM,HIV AND PERSONAL HISTORY FORM,,,,Misc,N/A,
