Uuid, Answers,Members,Fully specified name:en,Data class,Data type,_version:1,_order:136
8993337f-4a6b-4f01-b3a0-780bc6d85c63,,"Date ;TB Screening, Person Age;  Current Cough ; TB Screening , Fever ; TB Screening ,Weight loss ;Failure to Thrive, Children;TB Screening , Night Sweats ;  Close Contact History with TB patients ",TB Screening information,Misc,N/A,,
c2f01b10-1b5e-485a-a352-05788359d881,MTB Detected ; MTB Not Detected,,"GeneXpert , Result",Question,Coded,,
567a949c-1ff8-499d-afeb-3b54893fa1e8,,"Date Test Requested, GeneXpert; Date Results Received, GeneXpert ; GeneXpert , Result",GeneXpert Information,Misc,N/A,,
e6b84479-69fe-4524-a7cd-c2f9197436c3,"AFB +  ; AFB - ; Sputum Results, Unknown",,"AFB Microscopic, Results",Question,Coded,,
8074d855-6624-4577-b220-0a54eeb771be,,"Date Test Requested, Microscopic ; Date Results Received,  Microscopic ; AFB Microscopic, Results",AFB Microscopic,Misc,N/A,,
0e0f1065-4457-41b7-a133-8724ae8c2815,,,"FNA, Results",Question,Coded,,
4b642bd2-8c68-4c7c-bec7-b79f77d35b6a,,"Date Test Requested, FNA; Date Results Received,  FNA ; FNA, Results",FNA,Misc,N/A,,
44dad473-db51-42fb-b1ba-07edcab3e9d7,,,"Culture, Results",Question,Coded,,
7df0e3f9-055b-4aa2-826f-a88125f9ee90,,"Date Test Requested, Culture; Date Results Received,  Culture ; Culture, Results","Culture, TB Investigations",Misc,N/A,,
7c679f4f-cae6-43ba-bf18-0f3bd9f060a8,Suggestive ; Inclusive ; Other Dx,,CxR Results,Question,Coded,,
6185eed1-bf16-49fe-bafa-31362233818e,,"Date Test Requested, Crx ; Date Results Received,  Crx ; CxR Results",Crx,Misc,N/A,,
fdaa7259-df0b-4e26-9d9c-de2ca68dff1d,"AFB +  ; AFB - ; Sputum Results, Unknown",,"Sputum for AFB, Result",Question,Coded,,
39fffef8-0e8b-4432-9ab4-d870b32ea3c6,,"Sputum for AFB, Has it been done? ; Sputum for AFB, Result",Bacteriology: Sputum For AFB Information,Misc,N/A,,
ad8ecb63-6b5d-49b2-9a9d-e16d7a0efc40,,,"FNA,Culture, UltraSound - Done? ",Question,Boolean,,
7c679f4f-cae6-43ba-bf18-0f3bd9f060a8,Suggestive ; Inclusive ; Other Dx,,CxR Results,Question,Coded,,
363f10c8-bce7-4627-8890-62fafd8edb43,,Has CxR been Done? ; CxR Results,Radiology CrX Information,Misc,N/A,,
169895bd-1c27-4f41-9016-f76383964b68, Pulmonary ;  Extrapulmonary ; Pulmonary + Extrapulmonary ; Disseminated,,"Tuberculosis, Type",Question,Coded,,
5f8378c9-6cce-4b54-9924-e8e732713c29,,"TB Diagnosed? ; Tuberculosis, Type",TB Diagnosis Information,Misc,N/A,,
fe8890ae-bacb-4fe4-b41e-9b843166cb2b,,"GeneXpert Information ; AFB Microscopic ; FNA ; Culture, TB Investigations ; Crx; TB Diagnosis Information",TB Investigation,Misc,N/A,,
6fa69c2e-3ddf-4c9e-b31b-1de9629eb8e1,,TB Screening information ;TB Investigation,TB SCREENING FORM,Misc,N/A,,
